"","Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"7783","NUDT12",3.80217697158945,-0.988477647992445,1.74487712670995,-0.566502725527882,0.57105208067778,0.999993603917205,"83594"
"7784","NUDT13",56.5756766825003,-0.383895412334219,0.452615657712895,-0.848170861507695,0.396342822355704,0.999993603917205,"25961"
"7785","NUDT14",158.901159355569,0.0856348422687466,0.613249009932807,0.139641223844992,0.888943467790603,0.999993603917205,"256281"
"7786","NUDT15",221.579030443666,-0.125750569884043,0.366786074930573,-0.342844449336976,0.731715484537239,0.999993603917205,"55270"
"7787","NUDT16",435.017597760265,0.278819414238259,0.343772073160852,0.81105894284728,0.417331822323876,0.999993603917205,"131870"
"7788","NUDT16L1",538.961111165078,0.0849310785658949,0.325154564352482,0.261202172373093,0.793936602945427,0.999993603917205,"84309"
"7789","NUDT17",53.7286919763501,0.309614887289236,0.469668057347212,0.659220661158028,0.509754081187213,0.999993603917205,"200035"
"7790","NUDT18",334.023374614538,-0.302807728360347,0.291413818024412,-1.03909873050351,0.298758821315006,0.999993603917205,"79873"
"7791","NUDT19",379.421046994305,-0.403015664290383,0.38054844483363,-1.05903905208856,0.289581994925779,0.999993603917205,"390916"
"7792","NUDT2",276.907823665075,0.298179081780066,0.351725929078424,0.847759738843652,0.396571789310937,0.999993603917205,"318"
"7793","NUDT21",2240.44005225263,-0.00863575094946941,0.240915423571839,-0.0358455711196685,0.971405495898281,0.999993603917205,"11051"
"7794","NUDT22",483.991359159411,0.308988493968188,0.271049481674822,1.13997079816917,0.25429846726579,0.999993603917205,"84304"
"7795","NUDT3",50.3174007239253,0.234235778196656,0.585246261791793,0.400234556782163,0.68898376436696,0.999993603917205,"11165"
"7796","NUDT4",945.140042650853,-0.255182389359543,0.263953477077388,-0.966770327047926,0.333658861224841,0.999993603917205,"11163"
"7797","NUDT4B",1.41345028189698,-1.01161958834252,2.60746959761006,-0.387969849876579,0.698038345756264,0.999993603917205,"440672"
"7798","NUDT5",1201.85648869886,0.00316293966851594,0.253509078888368,0.0124766327201589,0.990045345649922,0.999993603917205,"11164"
"7799","NUDT6",73.0107128836068,0.158474091462859,0.389727069507803,0.406628391666506,0.684280941347745,0.999993603917205,"11162"
"7800","NUDT7",30.5978280239252,0.567561959686301,0.700134449054038,0.81064709850107,0.417568361255912,0.999993603917205,"283927"
"7801","NUDT8",39.9026889097976,-0.134438482353336,1.02994826555042,-0.130529354580242,0.896147631211743,0.999993603917205,"254552"
"7802","NUDT9",201.111278678924,0.246159881452509,0.386630595405423,0.636679777487305,0.524333448539069,0.999993603917205,"53343"
"7803","NUF2",305.292922833841,-0.245982365493552,0.694429241206755,-0.354222361181238,0.723172246820706,0.999993603917205,"83540"
"7804","NUFIP1",97.5913901385235,-0.0699641414010456,0.34806711596211,-0.201007616613406,0.840692618424232,0.999993603917205,"26747"
"7805","NUFIP2",3250.01727924834,-0.0880907349385336,0.224266000812341,-0.392795763153797,0.694470334197881,0.999993603917205,"57532"
"7806","NUGGC",306.058853903194,0.185979961769436,0.434826190103236,0.427711039496679,0.668861511552628,0.999993603917205,"389643"
"7807","NUMA1",3417.31053153029,0.110366672476795,0.27637263681169,0.399340085726339,0.689642634344731,0.999993603917205,"4926"
"7808","NUMB",1185.62442091333,-0.0743495165214253,0.233366339903204,-0.318595717584052,0.750033101229691,0.999993603917205,"8650"
"7809","NUMBL",115.941883161407,-0.035255140642902,0.385754940568817,-0.0913925835685121,0.927180654543295,0.999993603917205,"9253"
"7810","NUP107",864.551309664102,-0.283431434475812,0.298080307232591,-0.950855952569355,0.341677504448522,0.999993603917205,"57122"
"7811","NUP133",826.254340170151,-0.215726402542455,0.257175579738015,-0.838829265057807,0.401565125832757,0.999993603917205,"55746"
"7812","NUP153",2885.0361473501,-0.290611326321924,0.375213073738209,-0.774523455237295,0.438621303184991,0.999993603917205,"9972"
"7813","NUP155",689.025324396497,-0.11371671212479,0.235211688301067,-0.483465396410207,0.628765323924914,0.999993603917205,"9631"
"7814","NUP160",852.307883816768,-0.129981138539251,0.25804888723336,-0.503707417353463,0.614466995284507,0.999993603917205,"23279"
"7815","NUP188",1568.30450522303,-0.0729833768231664,0.216838901445804,-0.336578798068702,0.736434441265911,0.999993603917205,"23511"
"7816","NUP205",1274.28171137994,-0.156338664071853,0.276950571602103,-0.564500239762877,0.572413737025705,0.999993603917205,"23165"
"7817","NUP210",5704.18753846128,-0.160047596151869,0.227496927382725,-0.703515418837357,0.48173460124747,0.999993603917205,"23225"
"7818","NUP210L",13.6227866438186,-0.398430275371197,0.832933775711406,-0.47834568244144,0.632404187072892,0.999993603917205,"91181"
"7819","NUP214",1196.63747318488,-0.180466465796347,0.228847019750939,-0.78858997592695,0.430351691578144,0.999993603917205,"8021"
"7820","NUP35",111.291629402712,0.0133406969523191,0.345417825332842,0.0386219122868487,0.969191831846146,0.999993603917205,"129401"
"7821","NUP37",266.145394551872,0.280002544487847,0.285614477021451,0.980351372268911,0.326912704496422,0.999993603917205,"79023"
"7822","NUP43",500.960825315953,-0.102935034039428,0.287822028330342,-0.357634315332133,0.720616994627108,0.999993603917205,"348995"
"7823","NUP50",2526.1977214865,-0.0922641749409302,0.257334689839552,-0.358537649931522,0.719940997477839,0.999993603917205,"10762"
"7824","NUP54",807.114546964367,-0.31550085010166,0.297600724600745,-1.06014812472292,0.28907721686558,0.999993603917205,"53371"
"7825","NUP58",1112.33361782524,-0.111660226358321,0.304971684883882,-0.366133093309419,0.714265764531467,0.999993603917205,"9818"
"7826","NUP62",1847.88076886922,0.0160734734691446,0.227526628748535,0.07064436175033,0.94368080301631,0.999993603917205,"23636"
"7827","NUP62CL",6.5161867716118,1.10942937374842,1.33765998484856,0.829380699366609,0.406889019383626,0.999993603917205,"54830"
"7828","NUP85",657.28220146531,0.0349240399661966,0.242051663191637,0.144283412498375,0.885276676157835,0.999993603917205,"79902"
"7829","NUP88",672.819236594279,-0.274614591804944,0.265980745068418,-1.03246042014923,0.301856480061712,0.999993603917205,"4927"
"7830","NUP93",861.43500792886,-0.221514261815157,0.245993350778144,-0.900488818557277,0.367860173100975,0.999993603917205,"9688"
"7831","NUP98",2510.70929634189,-0.0760732898056798,0.248567773235378,-0.306046471010718,0.759569263458509,0.999993603917205,"4928"
"7832","NUPR1",26.170766029823,0.693174972966864,1.24331706428122,0.557520678257239,0.577171734980934,0.999993603917205,"26471"
